Fx,Fy,Fz,Tx,Ty,r,z
1.9E-01,-2.2E-11,0.215,-2.3E-10,9.0E-01,19,15
7.4E-01,4.7E-13,0.465,-1.9E-10,6.6E+00,20,0
6.7E-01,-1.1E-11,0.438,-6.8E-11,5.8E+00,20,1
6.1E-01,-4.7E-13,0.413,-6.2E-11,5.0E+00,20,2
5.5E-01,-3.1E-12,0.390,-9.4E-11,4.4E+00,20,3
5.0E-01,1.1E-11,0.368,-1.3E-11,3.9E+00,20,4
4.6E-01,1.6E-12,0.348,1.8E-10,3.4E+00,20,5
4.2E-01,-2.3E-11,0.329,-2.4E-10,2.9E+00,20,6
3.8E-01,6.8E-12,0.311,1.2E-11,2.6E+00,20,7
3.5E-01,2.4E-12,0.294,9.2E-11,2.2E+00,20,8
3.2E-01,-7.3E-12,0.278,-2.4E-10,1.9E+00,20,9
3.0E-01,3.2E-12,0.263,2.7E-11,1.7E+00,20,10
2.7E-01,-7.7E-12,0.248,1.1E-11,1.5E+00,20,11
2.5E-01,-1.6E-11,0.235,-1.1E-10,1.3E+00,20,12
2.3E-01,-4.3E-14,0.223,4.3E-11,1.1E+00,20,13
2.1E-01,-2.6E-12,0.211,1.4E-10,9.4E-01,20,14
2.0E-01,-3.2E-12,0.200,1.0E-10,8.0E-01,20,15
